"","title","author","subject","abstract","date"
"43","on-the-fly syntax highlighting: generalisation and speed-ups","marco edoardo palma, alex wolf, pasquale salza, harald c. gall","software engineering","on-the-fly syntax highlighting is the task of rapidly associating visual secondary notation values with each character of a language derivation. research in this domain is driven by the prevalence of online software development tools, which frequently display source code on screen and heavily rely on syntax highlighting mechanisms. in this context, three contrasting demands confront resolvers in this space: speed, accuracy, and development costs. speed constraints are essential to ensure tool usability, manifesting as responsiveness for end users accessing online source code and minimising system overhead. simultaneously, achieving precise highlighting is critical for enhancing code comprehensibility. nevertheless, obtaining accurate results necessitates the capacity to perform grammatical analysis on the code under consideration, even in cases of varying grammatical correctness. furthermore, addressing the development costs of such resolvers is imperative, given the multitude of programming language versions. the current state-of-the-art approach in this field leverages the original lexer and parser of programming languages to create syntax highlighting oracles, subsequently used for training base recurrent neural network models. as the question of the generalisation of such a solution persists, this paper addresses this aspect by extending the original work to three additional mainstream programming languages and conducting a comprehensive review of the outcomes. moreover, the original limitations in evaluation performance and training costs are mitigated through the introduction of a novel convolutional based neural network model. this study examines the performance gains of running models on gpus, finding that the new cnn implementation is much faster than previous methods while maintaining high accuracy.",2024-02-13
"44","the current state of security -- insights from the german software industry","timo langstrof, alex r. sabau","cryptography and security","these days, software development and security go hand in hand. numerous techniques and strategies are discussed in the literature that can be applied to guarantee the incorporation of security into the software development process. in this paper the main ideas of secure software development that have been discussed in the literature are outlined. next, a dataset on implementation in practice is gathered through a qualitative interview research involving 20 companies. trends and correlations in this dataset are found and contrasted with theoretical ideas from the literature. the results show that the organizations that were polled are placing an increasing focus on security. although the techniques covered in the literature are being used in the real world, they are frequently not fully integrated into formal, standardized processes. the insights gained from our research lay the groundwork for future research, which can delve deeper into specific elements of these methods to enhance our understanding of their application in real-world scenarios.",2024-02-13
"45","what the fix? a study of asats rule documentation","corentin latappy, thomas degueule, jean-rémy falleri (labri), romain robbes (cnrs, labri, ub, bordeaux inp), xavier blanc, cédric teyton","software engineering","automatic static analysis tools (asats) are widely used by software developers to diffuse and enforce coding practices. yet, we know little about the documentation of asats, despite it being critical to learn about the coding practices in the first place. we shed light on this through several contributions. first, we analyze the documentation of more than 100 rules of 16 asats for multiple programming languages, and distill a taxonomy of the purposes of the documentation-what triggers a rule; why it is important; and how to fix an issue-and its types of contents. then, we conduct a survey to assess the effectiveness of the documentation in terms of its goals and types of content. we highlight opportunities for improvement in asat documentation. in particular, we find that the why purpose is missing in half of the rules we survey; moreover, when the why is present, it is more likely to have quality issues than the what and the fix.",2024-02-13
"46","turtlerabbit 2024 ssl team description paper","linh trinh, alif anzuman, eric batkhuu, dychen chan, lisa graf, darpan gurung, tharunimm jamal, jigme namgyal, jason ng, wing lam tsang, x. rosalind wang, eren yilmaz, oliver obst","robotics","turtlerabbit is a new robocup ssl team from western sydney university. this team description paper presents our approach in navigating some of the challenges in developing a new ssl team from scratch. ssl is dominated by teams with extensive experience and customised equipment that has been developed over many years. here, we outline our approach in overcoming some of the complexities associated with replicating advanced open-sourced designs and managing the high costs of custom components. opting for simplicity and cost-effectiveness, our strategy primarily employs off-the-shelf electronics components and ``hobby'' brushless direct current (bldc) motors, complemented by 3d printing and cnc milling. this approach helped us to streamline the development process and, with our open-sourced hardware design, hopefully will also lower the bar for other teams to enter robocup ssl in the future. the paper details the specific hardware choices, their approximate costs, the integration of electronics and mechanics, and the initial steps taken in software development, for our entry into ssl that aims to be simple yet competitive.",2024-02-13
"47","mercury: an efficiency benchmark for llm code synthesis","mingzhe du, anh tuan luu, bin ji, see-kiong ng","software engineering","despite advancements in evaluating large language models (llms) for code synthesis, benchmarks have predominantly focused on functional correctness, overlooking the importance of code efficiency. we present mercury, the first benchmark designated for assessing the code efficiency of llm code synthesis tasks. mercury consists of 1,889 programming tasks covering diverse difficulty levels alongside test case generators generating unlimited cases for comprehensive evaluation. unlike existing benchmarks, mercury integrates a novel metric beyond@k to measure normalized code efficiency based on historical submissions, leading to a new evaluation indicator for code synthesis, which encourages generating functionally correct and computationally efficient code, mirroring the real-world software development standard. our findings reveal that while llms demonstrate the remarkable capability to generate functionally correct code, there still exists a substantial gap in their efficiency output, underscoring a new frontier for llm research and development.",2024-02-12
"48","best practices for facing the security challenges of internet of things devices focusing on software development life cycle","md rafid islam, ratun rahman","software engineering","in the past few years, the number of iot devices has grown substantially, and this trend is likely to continue. an increasing amount of effort is being put into developing software for the ever-increasing iot devices. every iot system at its core has software that enables the devices to function efficiently. but security has always been a concern in this age of information and technology. security for iot devices is now a top priority due to the growing number of threats. this study introduces best practices for ensuring security in the iot, with an emphasis on guidelines to be utilized in software development for iot devices. the objective of the study is to raise awareness of potential threats, emphasizing the secure software development lifecycle. the study will also serve as a point of reference for future developments and provide a solid foundation for securing iot software and dealing with vulnerabilities.",2024-02-12
"49","asap-repair: api-specific automated program repair based on api usage graphs","sebastian nielebock, paul blockhaus, jacob krüger, frank ortmeier","software engineering","modern software development relies on the reuse of code via application programming interfaces (apis). such reuse relieves developers from learning and developing established algorithms and data structures anew, enabling them to focus on their problem at hand. however, there is also the risk of misusing an api due to a lack of understanding or proper documentation. while many techniques target api misuse detection, only limited efforts have been put into automatically repairing api misuses. in this paper, we present our advances on our technique api-specific automated program repair (asap-repair). asap-repair is intended to fix api misuses based on api usage graphs (augs) by leveraging api usage templates of state-of-the-art api misuse detectors. we demonstrate that asap-repair is in principle applicable on an established api misuse dataset. moreover, we discuss next steps and challenges to evolve asap-repair towards a full-fledged automatic program repair (apr) technique.",2024-02-12
"50","malicious package detection using metadata information","s. halder, m. bewong, a. mahboubi, y. jiang, r. islam, z. islam, r. ip, e. ahmed, g. ramachandran, a. babar","cryptography and security","protecting software supply chains from malicious packages is paramount in the evolving landscape of software development. attacks on the software supply chain involve attackers injecting harmful software into commonly used packages or libraries in a software repository. for instance, javascript uses node package manager (npm), and python uses python package index (pypi) as their respective package repositories. in the past, npm has had vulnerabilities such as the event-stream incident, where a malicious package was introduced into a popular npm package, potentially impacting a wide range of projects. as the integration of third-party packages becomes increasingly ubiquitous in modern software development, accelerating the creation and deployment of applications, the need for a robust detection mechanism has become critical. on the other hand, due to the sheer volume of new packages being released daily, the task of identifying malicious packages presents a significant challenge. to address this issue, in this paper, we introduce a metadata-based malicious package detection model, memptec. this model extracts a set of features from package metadata information. these extracted features are classified as either easy-to-manipulate (etm) or difficult-to-manipulate (dtm) features based on monotonicity and restricted control properties. by utilising these metadata features, not only do we improve the effectiveness of detecting malicious packages, but also we demonstrate its resistance to adversarial attacks in comparison with existing state-of-the-art. our experiments indicate a significant reduction in both false positives (up to 97.56%) and false negatives (up to 91.86%).",2024-02-12
"51","on (mis)perceptions of testing effectiveness: an empirical study","sira vegas, patricia riofrio, esperanza marcos, natalia juristo","software engineering","a recurring problem in software development is incorrect decision making on the techniques, methods and tools to be used. mostly, these decisions are based on developers' perceptions about them. a factor influencing people's perceptions is past experience, but it is not the only one. in this research, we aim to discover how well the perceptions of the defect detection effectiveness of different techniques match their real effectiveness in the absence of prior experience. to do this, we conduct an empirical study plus a replication. during the original study, we conduct a controlled experiment with students applying two testing techniques and a code review technique. at the end of the experiment, they take a survey to find out which technique they perceive to be most effective. the results show that participants' perceptions are wrong and that this mismatch is costly in terms of quality. in order to gain further insight into the results, we replicate the controlled experiment and extend the survey to include questions about participants' opinions on the techniques and programs. the results of the replicated study confirm the findings of the original study and suggest that participants' perceptions might be based not on their opinions about complexity or preferences for techniques but on how well they think that they have applied the techniques.",2024-02-11
"52","designing nlp-based solutions for requirements variability management: experiences from a design science study at visma","parisa elahidoost, michael unterkalmsteiner, davide fucci, peter liljenberg, jannik fischbach","software engineering","context and motivation: in this industry-academia collaborative project, a team of researchers, supported by a software architect, business analyst, and test engineer explored the challenges of requirement variability in a large business software development company. question/problem: following the design science paradigm, we studied the problem of requirements analysis and tracing in the context of contractual documents, with a specific focus on managing requirements variability. this paper reports on the lessons learned from that experience, highlighting the strategies and insights gained in the realm of requirements variability management. principal ideas/results: this experience report outlines the insights gained from applying design science in requirements engineering research in industry. we show and evaluate various strategies to tackle the issue of requirement variability. contribution: we report on the iterations and how the solution development evolved in parallel with problem understanding. from this process, we derive five key lessons learned to highlight the effectiveness of design science in exploring solutions for requirement variability in contract-based environments.",2024-02-11
"53","unprecedented code change automation: the fusion of llms and transformation by example","malinda dilhara, abhiram bellur, timofey bryksin, danny dig","software engineering","software developers often repeat code changes, known as ""code change patterns"" (cpats), within and across projects. automating these cpats accelerates development, but current transformation by example (tbe) techniques are limited by the input examples' quality and quantity, missing variations with different syntax or flow yet semantically similar. large language models (llms), trained on vast code datasets, can overcome these limitations by generating semantically equivalent, unseen cpat variants, enhancing tbe effectiveness.
we identified best practices for using llms to generate code variants meeting criteria of correctness, usefulness, and applicability. implementing these in pycraft, combining static and dynamic analysis with llms, we achieved an f-measure of 96.6% in identifying correct variants, expanding inputs by 58x on average, and automating changes to increase target codes by up to 39x. patches from pycraft were submitted to projects like microsoft/deepspeed and ibm/infairness, with an 83% acceptance rate, validating our approach's usefulness.",2024-02-11
"54","using large language models for student-code guided test case generation in computer science education","nischal ashok kumar, andrew lan","computation and language","in computer science education, test cases are an integral part of programming assignments since they can be used as assessment items to test students' programming knowledge and provide personalized feedback on student-written code. the goal of our work is to propose a fully automated approach for test case generation that can accurately measure student knowledge, which is important for two reasons. first, manually constructing test cases requires expert knowledge and is a labor-intensive process. second, developing test cases for students, especially those who are novice programmers, is significantly different from those oriented toward professional-level software developers. therefore, we need an automated process for test case generation to assess student knowledge and provide feedback. in this work, we propose a large language model-based approach to automatically generate test cases and show that they are good measures of student knowledge, using a publicly available dataset that contains student-written java code. we also discuss future research directions centered on using test cases to help students.",2024-02-11
"55","exploring interaction patterns for debugging: enhancing conversational capabilities of ai-assistants","bhavya chopra, yasharth bajpai, param biyani, gustavo soares, arjun radhakrishna, chris parnin, sumit gulwani","human-computer interaction","the widespread availability of large language models (llms) within integrated development environments (ides) has led to their speedy adoption. conversational interactions with llms enable programmers to obtain natural language explanations for various software development tasks. however, llms often leap to action without sufficient context, giving rise to implicit assumptions and inaccurate responses. conversations between developers and llms are primarily structured as question-answer pairs, where the developer is responsible for asking the the right questions and sustaining conversations across multiple turns. in this paper, we draw inspiration from interaction patterns and conversation analysis -- to design robin, an enhanced conversational ai-assistant for debugging. through a within-subjects user study with 12 industry professionals, we find that equipping the llm to -- (1) leverage the insert expansion interaction pattern, (2) facilitate turn-taking, and (3) utilize debugging workflows -- leads to lowered conversation barriers, effective fault localization, and 5x improvement in bug resolution rates.",2024-02-09
"56","rocks coding, not development--a human-centric, experimental evaluation of llm-supported se tasks","wei wang, huilong ning, gaowei zhang, libo liu, yi wang","software engineering","recently, large language models (llm) based generative ai has been gaining momentum for their impressive high-quality performances in multiple domains, particularly after the release of the chatgpt. many believe that they have the potential to perform general-purpose problem-solving in software development and replace human software developers. nevertheless, there are in a lack of serious investigation into the capability of these llm techniques in fulfilling software development tasks. in a controlled 2 x 2 between-subject experiment with 109 participants, we examined whether and to what degree working with chatgpt was helpful in the coding task and typical software development task and how people work with chatgpt. we found that while chatgpt performed well in solving simple coding problems, its performance in supporting typical software development tasks was not that good. we also observed the interactions between participants and chatgpt and found the relations between the interactions and the outcomes. our study thus provides first-hand insights into using chatgpt to fulfill software engineering tasks with real-world developers and motivates the need for novel interaction mechanisms that help developers effectively work with large language models to achieve desired outcomes.",2024-02-08
"57","the impact of ai tool on engineering at anz bank an emperical study on github copilot within coporate environment","sayan chatterjee, ching louis liu, gareth rowland, tim hogarth","software engineering","the increasing popularity of ai, particularly large language models (llms), has significantly impacted various domains, including software engineering. this study explores the integration of ai tools in software engineering practices within a large organization. we focus on anz bank, which employs over 5000 engineers covering all aspects of the software development life cycle. this paper details an experiment conducted using github copilot, a notable ai tool, within a controlled environment to evaluate its effectiveness in real-world engineering tasks. additionally, this paper shares initial findings on the productivity improvements observed after github copilot was adopted on a large scale, with about 1000 engineers using it. anz bank's six-week experiment with github copilot included two weeks of preparation and four weeks of active testing. the study evaluated participant sentiment and the tool's impact on productivity, code quality, and security. initially, participants used github copilot for proposed use-cases, with their feedback gathered through regular surveys. in the second phase, they were divided into control and copilot groups, each tackling the same python challenges, and their experiences were again surveyed. results showed a notable boost in productivity and code quality with github copilot, though its impact on code security remained inconclusive. participant responses were overall positive, confirming github copilot's effectiveness in large-scale software engineering environments. early data from 1000 engineers also indicated a significant increase in productivity and job satisfaction.",2024-02-08
"58","polaris: a framework to guide the development of trustworthy ai systems","maria teresa baldassarre, domenico gigante, marcos kalinowski, azzurra ragone","software engineering","in the ever-expanding landscape of artificial intelligence (ai), where innovation thrives and new products and services are continuously being delivered, ensuring that ai systems are designed and developed responsibly throughout their entire lifecycle is crucial. to this end, several ai ethics principles and guidelines have been issued to which ai systems should conform. nevertheless, relying solely on high-level ai ethics principles is far from sufficient to ensure the responsible engineering of ai systems. in this field, ai professionals often navigate by sight. indeed, while recommendations promoting trustworthy ai (tai) exist, these are often high-level statements that are difficult to translate into concrete implementation strategies. there is a significant gap between high-level ai ethics principles and low-level concrete practices for ai professionals. to address this challenge, our work presents an experience report where we develop a novel holistic framework for trustworthy ai - designed to bridge the gap between theory and practice - and report insights from its application in an industrial case study. the framework is built on the result of a systematic review of the state of the practice, a survey, and think-aloud interviews with 34 ai practitioners. the framework, unlike most of those already in the literature, is designed to provide actionable guidelines and tools to support different types of stakeholders throughout the entire software development life cycle (sdlc). our goal is to empower ai professionals to confidently navigate the ethical dimensions of tai through practical insights, ensuring that the vast potential of ai is exploited responsibly for the benefit of society as a whole.",2024-02-08
"59","ten simple rules for teaching sustainable software engineering","kit gallagher, richard creswell, ben lambert, martin robinson, chon lok lei, gary r. mirams, david j. gavaghan","computers and society","computational methods and associated software implementations are central to every field of scientific investigation. modern biological research, particularly within systems biology, has relied heavily on the development of software tools to process and organize increasingly large datasets, simulate complex mechanistic models, provide tools for the analysis and management of data, and visualize and organize outputs. however, developing high-quality research software requires scientists to develop a host of software development skills, and teaching these skills to students is challenging. there has been a growing importance placed on ensuring reproducibility and good development practices in computational research. however, less attention has been devoted to informing the specific teaching strategies which are effective at nurturing in researchers the complex skillset required to produce high-quality software that, increasingly, is required to underpin both academic and industrial biomedical research. recent articles in the ten simple rules collection have discussed the teaching of foundational computer science and coding techniques to biology students. we advance this discussion by describing the specific steps for effectively teaching the necessary skills scientists need to develop sustainable software packages which are fit for (re-)use in academic research or more widely. although our advice is likely to be applicable to all students and researchers hoping to improve their software development skills, our guidelines are directed towards an audience of students that have some programming literacy but little formal training in software development or engineering, typical of early doctoral students. these practices are also applicable outside of doctoral training environments, and we believe they should form a key part of postgraduate training schemes more generally in the life sciences.",2024-02-07
"60","the invisible game on the internet: a case study of decoding deceptive patterns","zewei shi, ruoxi sun, jieshan chen, jiamou sun, minhui xue","cryptography and security","deceptive patterns are design practices embedded in digital platforms to manipulate users, representing a widespread and long-standing issue in the web and mobile software development industry. legislative actions highlight the urgency of globally regulating deceptive patterns. however, despite advancements in detection tools, a significant gap exists in assessing deceptive pattern risks. in this study, we introduce a comprehensive approach involving the interactions between the adversary, watchdog (e.g., detection tools), and challengers (e.g., users) to formalize and decode deceptive pattern threats. based on this, we propose a quantitative risk assessment system. representative cases are analyzed to showcase the practicability of the proposed risk scoring system, emphasizing the importance of involving human factors in deceptive pattern risk assessment.",2024-02-05
"61","dynamic test case prioritization in industrial test result datasets","alina torbunova, per erik strandberg, ivan porres","software engineering","regression testing in software development checks if new software features affect existing ones. regression testing is a key task in continuous development and integration, where software is built in small increments and new features are integrated as soon as possible. it is therefore important that developers are notified about possible faults quickly. in this article, we propose a test case prioritization schema that combines the use of a static and a dynamic prioritization algorithm. the dynamic prioritization algorithm rearranges the order of execution of tests on the fly, while the tests are being executed. we propose to use a conditional probability dynamic algorithm for this. we evaluate our solution on three industrial datasets and utilize average percentage of fault detection for that. the main findings are that our dynamic prioritization algorithm can: a) be applied with any static algorithm that assigns a priority score to each test case b) can improve the performance of the static algorithm if there are failure correlations between test cases c) can also reduce the performance of the static algorithm, but only when the static scheduling is performed at a near optimal level.",2024-02-05
"62","fair-use4os: from open source to open source","raphael sonabend, hugo gruson, leo wolansky, agnes kiragga, daniel s. katz","software engineering","this paper extends the fair (findable, accessible, interoperable, reusable) guidelines to provide criteria for assessing if software is open source. by adding 'use' (user-centered, sustainable, equitable), software development can adhere to open source best practice by incorporating user-input early on, ensuring front-end designs are accessible to all possible stakeholders, and planning long-term sustainability alongside software design. the fair-use4os guidelines will allow funders and researchers to more effectively evaluate and plan open source software projects. there is good evidence of funders increasingly mandating that all funded research software is open-source; however, even under the fair guidelines, this could simply mean software released on github with a zenodo doi. by employing the fair-use4os guidelines, best practice can be demonstrated from the very beginning of the design process and the software has the greatest chance of success by being truly 'open source'.",2024-02-05
"63","how do software practitioners perceive human-centric defects?","vedant chauhan, chetan arora, hourieh khalajzadeh, john grundy","software engineering","context: human-centric software design and development focuses on how users want to carry out their tasks rather than making users accommodate their software. software users can have different genders, ages, cultures, languages, disabilities, socioeconomic statuses, and educational backgrounds, among many other differences. due to the inherently varied nature of these differences and their impact on software usage, preferences and issues of users can vary, resulting in user-specific defects that we term as `human-centric defects' (hcds).
objective: this research aims to understand the perception and current management practices of such human-centric defects by software practitioners, identify key challenges in reporting, understanding and fixing them, and provide recommendations to improve hcds management in software engineering.
method: we conducted a survey and interviews with software engineering practitioners to gauge their knowledge and experience on hcds and the defect tracking process.
results: we analysed fifty (50) survey- and ten (10) interview- responses from se practitioners and identified that there are multiple gaps in the current management of hcds in software engineering practice. there is a lack of awareness regarding human-centric aspects, causing them to be lost or under-appreciated during software development. our results revealed that handling hcds could be improved by following a better feedback process with end-users, a more descriptive taxonomy, and suitable automation.
conclusion: hcds present a major challenge to software practitioners, given their diverse end-user base. in the software engineering domain, research on hcds has been limited and requires effort from the research and practice communities to create better awareness and support regarding human-centric aspects.",2024-02-05
"64","improving the learning of code review successive tasks with cross-task knowledge distillation","oussama ben sghaier, houari sahraoui","software engineering","code review is a fundamental process in software development that plays a pivotal role in ensuring code quality and reducing the likelihood of errors and bugs. however, code review can be complex, subjective, and time-consuming. quality estimation, comment generation, and code refinement constitute the three key tasks of this process, and their automation has traditionally been addressed separately in the literature using different approaches. in particular, recent efforts have focused on fine-tuning pre-trained language models to aid in code review tasks, with each task being considered in isolation. we believe that these tasks are interconnected, and their fine-tuning should consider this interconnection. in this paper, we introduce a novel deep-learning architecture, named discorev, which employs cross-task knowledge distillation to address these tasks simultaneously. in our approach, we utilize a cascade of models to enhance both comment generation and code refinement models. the fine-tuning of the comment generation model is guided by the code refinement model, while the fine-tuning of the code refinement model is guided by the quality estimation model. we implement this guidance using two strategies: a feedback-based learning objective and an embedding alignment objective. we evaluate discorev by comparing it to state-of-the-art methods based on independent training and fine-tuning. our results show that our approach generates better review comments, as measured by the bleu score, as well as more accurate code refinement according to the codebleu score",2024-02-03
"65","effibench: benchmarking the efficiency of automatically generated code","dong huang, jie m.zhang, yuhao qing, heming cui","software engineering","code generation models have increasingly become integral to aiding software development, offering assistance in tasks such as code completion, debugging, and code translation. although current research has thoroughly examined the correctness of code produced by code generation models, a vital aspect, i.e., the efficiency of the generated code, has often been neglected. this paper presents effibench, a benchmark with 1,000 efficiency-critical coding problems for assessing the efficiency of code generated by code generation models. effibench contains a diverse set of leetcode coding problems. each problem is paired with an executable human-written canonical solution. with effibench, we empirically examine the capability of 21 large language models (13 open-sourced and 8 closed-sourced) in generating efficient code. the results demonstrate that gpt-4-turbo generates the most efficient code, significantly outperforming palm-2-chat-bison, claude-instant-1, gemini-pro, gpt-4, and gpt-3.5. nevertheless, its code efficiency is still worse than the efficiency of human-written canonical solutions. in particular, the average and worst execution time of gpt-4-turbo generated code is 1.69 and 45.49 times that of the canonical solutions.",2024-02-03
"66","understanding the building blocks of accountability in software engineering","adam alami, neil ernst","software engineering","in the social and organizational sciences, accountability has been linked to the efficient operation of organizations. however, it has received limited attention in software engineering (se) research, in spite of its central role in the most popular software development methods (e.g., scrum). in this article, we explore the mechanisms of accountability in se environments. we investigate the factors that foster software engineers' individual accountability within their teams through an interview study with 12 people. our findings recognize two primary forms of accountability shaping software engineers individual senses of accountability: institutionalized and grassroots. while the former is directed by formal processes and mechanisms, like performance reviews, grassroots accountability arises organically within teams, driven by factors such as peers' expectations and intrinsic motivation. this organic form cultivates a shared sense of collective responsibility, emanating from shared team standards and individual engineers' inner commitment to their personal, professional values, and self-set standards. while institutionalized accountability relies on traditional ""carrot and stick"" approaches, such as financial incentives or denial of promotions, grassroots accountability operates on reciprocity with peers and intrinsic motivations, like maintaining one's reputation in the team.",2024-02-02
"67","comet: generating commit messages using delta graph context representation","abhinav reddy mandli, saurabhsingh rajput, tushar sharma","software engineering","commit messages explain code changes in a commit and facilitate collaboration among developers. several commit message generation approaches have been proposed; however, they exhibit limited success in capturing the context of code changes. we propose comet (context-aware commit message generation), a novel approach that captures context of code changes using a graph-based representation and leverages a transformer-based model to generate high-quality commit messages. our proposed method utilizes delta graph that we developed to effectively represent code differences. we also introduce a customizable quality assurance module to identify optimal messages, mitigating subjectivity in commit messages. experiments show that comet outperforms state-of-the-art techniques in terms of bleu-norm and meteor metrics while being comparable in terms of rogue-l. additionally, we compare the proposed approach with the popular gpt-3.5-turbo model, along with gpt-4-turbo; the most capable gpt model, over zero-shot, one-shot, and multi-shot settings. we found comet outperforming the gpt models, on five and four metrics respectively and provide competitive results with the two other metrics. the study has implications for researchers, tool developers, and software developers. software developers may utilize comet to generate context-aware commit messages. researchers and tool developers can apply the proposed delta graph technique in similar contexts, like code review summarization.",2024-02-02
"68","codepori: large scale model for autonomous software development by using multi-agents","zeeshan rasheed, muhammad waseem, mika saari, kari systä, pekka abrahamsson","software engineering","large language models (llms) and generative pre-trained transformers (gpts) are reshaping the field of software engineering (se). existing llm-based multi-agent systems have successfully resolved simple dialogue tasks. however, the potential of llms for more complex tasks, such as automated code generation for large and complex projects, have been explored in only a few existing works. this paper introduces codepori, a novel model designed to automate code generation for extensive and complex software projects based on natural language prompts. we employ llm-based multi-ai agents to handle creative and challenging tasks in autonomous software development. each agent engages with a specific task, including system design, code development, code review, code verification, and test engineering. we show in the paper that codepori is able to generate running code for large-scale projects, completing the entire software development process in minutes rather than hours, and at a cost of a few dollars. it identifies and mitigates potential security vulnerabilities and corrects errors while maintaining a solid code performance level. we also conducted an evaluation of codepori against existing solutions using humaneval and the massively multitask benchmark for python (mbpp) benchmark. the results indicate that codepori improves upon the benchmarks in terms of code accuracy, efficiency, and overall performance. for example, codepori improves the pass@1 metric on humaneval to 87.5% and on mbpp to 86.5%, representing a clear improvement over the existing models. we also assessed codepori's performance through practitioner evaluations, with 91% expressing satisfaction with the model's performance.",2024-02-02
"69","can large language models serve as data analysts? a multi-agent assisted approach for qualitative data analysis","zeeshan rasheed, muhammad waseem, aakash ahmad, kai-kristian kemell, wang xiaofeng, anh nguyen duc, pekka abrahamsson","software engineering","recent advancements in large language models (llms) have enabled collaborative human-bot interactions in software engineering (se), similar to many other professions. however, the potential benefits and implications of incorporating llms into qualitative data analysis in se have not been completely explored. for instance, conducting qualitative data analysis manually can be a time-consuming, effort-intensive, and error-prone task for researchers. llm-based solutions, such as generative ai models trained on massive datasets, can be utilized to automate tasks in software development as well as in qualitative data analysis. to this end, we utilized llms to automate and expedite the qualitative data analysis processes. we employed a multi-agent model, where each agent was tasked with executing distinct, individual research related activities. our proposed model interpreted large quantities of textual documents and interview transcripts to perform several common tasks used in qualitative analysis. the results show that this technical assistant speeds up significantly the data analysis process, enabling researchers to manage larger datasets much more effectively. furthermore, this approach introduces a new dimension of scalability and accuracy in qualitative research, potentially transforming data interpretation methodologies in se.",2024-02-02
"70","an empirical study on low code programming using traditional vs large language model support","yongkun liu, jiachi chen, tingting bi, john grundy, yanlin wang, ting chen, yutian tang, zibin zheng","software engineering","low-code programming (lcp) refers to programming using models at higher levels of abstraction, resulting in less manual and more efficient programming, and reduced learning effort for amateur developers. many lcp tools have rapidly evolved and have benefited from the concepts of visual programming languages (vpls) and programming by demonstration (pbd). with huge increase in interest in using large language models (llms) in software engineering, llm-based lcp has began to become increasingly important. however, the technical principles and application scenarios of traditional approaches to lcp and llm-based lcp are significantly different. understanding these key differences and characteristics in the application of the two approaches to lcp by users is crucial for lcp providers in improving existing and developing new lcp tools, and in better assisting users in choosing the appropriate lcp technology. we conducted an empirical study of both traditional lcp and llm-based lcp. we analyzed developers' discussions on stack overflow (so) over the past three years and then explored the similarities and differences between traditional lcp and llm-based lcp features and developer feedback. our findings reveal that while traditional lcp and llm-based lcp share common primary usage scenarios, they significantly differ in scope, limitations and usage throughout the software development lifecycle, particularly during the implementation phase. we also examine how llms impact and integrate with lcp, discussing the latest technological developments in llm-based lcp, such as its integration with vpls and the application of llm agents in software engineering.",2024-02-02
"71","towards understanding the challenges of bug localization in deep learning systems","sigma jahan, mehil b. shah, mohammad masudur rahman","software engineering","software bugs cost the global economy billions of dollars annually and claim ~50\% of the programming time from software developers. locating these bugs is crucial for their resolution but challenging. it is even more challenging in deep-learning systems due to their black-box nature. bugs in these systems are also hidden not only in the code but also in the models and training data, which might make traditional debugging methods less effective. in this article, we conduct a large-scale empirical study to better understand the challenges of localizing bugs in deep-learning systems. first, we determine the bug localization performance of four existing techniques using 2,365 bugs from deep-learning systems and 2,913 from traditional software. we found these techniques significantly underperform in localizing deep-learning system bugs. second, we evaluate how different bug types in deep learning systems impact bug localization. we found that the effectiveness of localization techniques varies with bug type due to their unique challenges. for example, tensor bugs were more accessible to locate due to their structural nature, while all techniques struggled with gpu bugs due to their external dependencies. third, we investigate the impact of bugs' extrinsic nature on localization in deep-learning systems. we found that deep learning bugs are often extrinsic and thus connected to artifacts other than source code (e.g., gpu, training data), contributing to the poor performance of existing localization methods.",2024-02-01
"72","data management challenges in agile software projects: a systematic literature review","ahmed fawzy, amjed tahir, matthias galster, peng liang","software engineering","agile software development follows an adaptive and iterative approach. however, the management of data (e.g., development data or product data) can pose significant challenges for projects and agile teams. we aim to identify and characterize key challenges faced in data management within agile projects and to examine potential solutions proposed in the literature. we used a systematic literature review (slr) to collect and analyse relevant studies. we identified 45 studies related to data management in agile software development. we then manually analysed and mapped data from these studies to categorise different data management aspects and identify challenges and solutions as identified in those studies. our findings reveal major challenges such as data integration and quality assurance. we found implications of challenges on team members and the product delivery process. we found that teams frequently struggle to integrate heterogeneous data sources, ensuring data reliability and real-time analytics. additionally, fragmented data collection and a lack of standardized practices can impede team collaboration and project transparency. the studies have also proposed various solutions to address those challenges, including the use of ontologies, diverse data management strategies, automated tools, and the adoption of quality-focused development methods. solutions also include training to enhance data quality and analysis. this slr provides in-depth insights and recommendations for practitioners, emphasizing the importance of robust data management strategies. it suggests integrating advanced data management techniques into agile frameworks to enhance decision-making and improve software project outcomes. the study highlights the need for a more focused approach to data management in agile environments, advocating tailored solutions to meet the unique demands of agile software development.",2024-02-01
